client_sample_id,sample_date,matrix,method,analyte,result,qualifier,RL,MDL,unit,dil fac,EDL
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"cis-1,2-Dichloroethene",ND,,24,3.8,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,"cis-1,3-Dichloropropene",ND,,24,12,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Cyclohexane,ND,,48,16,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Chlorodibromomethane,ND,,24,11,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Dichlorodifluoromethane,ND,,24,5.0,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Ethylbenzene,ND,,24,4.5,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Isopropylbenzene,ND,,24,3.6,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Methyl acetate,ND,,120,16,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Methyl tert-butyl ether,ND,,24,3.5,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Methylcyclohexane,ND,,48,6.3,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Methylene Chloride,ND,,48,36,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Styrene,ND,,24,4.9,mg/Kg,100,
WC-WS1-A2 (2.5-3.5),02/17/23,Solid,SW846 8260D - Volatile Organic Compounds by GC/MS,Tetrachloroethene,ND,,24,9.2,mg/Kg,100,
